7.906E+17,10/24/16 17:06,"RT @OFA: It's working. It's saving lives. And we're not going back. Retweet to show your support. https://t.co/YOBeMMSYP8"
7.90574E+17,10/24/16 15:21,Health care is a right not a privilege���and #Obamacare works to protect that right for millions of Americans. https://t.co/B7fO8rhggW
7.89569E+17,10/21/16 20:47,Don't get tripped up by misinformation. Join the @OFA Truth Team today: https://t.co/09BpA6F9Ne https://t.co/Nxgp87o4iq
7.89507E+17,10/21/16 16:40,Being able to stay on a parent's plan enables millions of young adults to make choices about their future with the��_ https://t.co/1lSzxCHZVf
7.8948E+17,10/21/16 14:55,"""Because of Obamacare another 20 million Americans now know the financial security of health insurance."" https://t.co/eNd6J8bMxm"
7.89205E+17,10/20/16 20:42,Stand up for the law that's helped 20 million more Americans gain health coverage. Join Team @Obamacare today: https://t.co/XiNXrgnPoF
7.89176E+17,10/20/16 18:47,There's still more work to do but let's celebrate how far we've come. https://t.co/kUVWn68kJw
7.89163E+17,10/20/16 17:52,LIVE: President Obama is in Miami talking about the progress made possible by the Affordable Care Act. https://t.co/7FsQXut07O
7.89157E+17,10/20/16 17:29,RT @WhiteHouse: Each day @POTUS reads 10 letters from Americans. Today we're sharing some of the letters written about #ACA: https://t.co��_
7.89148E+17,10/20/16 16:54,Tune in at 1:55 p.m. ET to watch President Obama speak about the successes of the Affordable Care Act. https://t.co/7FsQXut07O
7.89128E+17,10/20/16 15:35,There's a lot of misinformation floating around. Make sure you've got the facts���join the @OFA Truth Team:��_ https://t.co/SpfRFK5LWq
7.88835E+17,10/19/16 20:10,From coast to coast editorial boards are denouncing Senate obstructionism. Take a look: https://t.co/vqDr2bBiVr #DoYourJob
7.88804E+17,10/19/16 18:07,Our Supreme Court has been short a justice for far too long. #DoYourJob Senate leaders. https://t.co/yJlejtHjr0
7.88771E+17,10/19/16 15:56,RT @SecBurwell: Today 20M more Americans have coverage thanks to the #ACA. Our uninsured rate is the lowest in our nation�۪s history. Lowes��_
7.88759E+17,10/19/16 15:09,The need for a ninth justice is undeniably clear. #DoYourJob https://t.co/L1EBgNbh3Q
7.8847E+17,10/18/16 20:00,We can't afford to let this be the new normal. https://t.co/nJzyfz2Zlw #ActOnClimate
7.88446E+17,10/18/16 18:25,Denying climate change is dangerous. Join @OFA supporters in standing up for bold action now: https://t.co/JZnvlb080l #ActOnClimate
7.88427E+17,10/18/16 17:10,Climate change is real but so is the progress we're making to #ActOnClimate. Let's keep it up. https://t.co/GOFKXQblGJ
7.88406E+17,10/18/16 15:45,This is just the latest step forward in the push to #ActOnClimate. https://t.co/UDInkidKkP
7.88141E+17,10/17/16 22:14,Read why @FLOTUS is fighting to ensure that girls everywhere have access to quality education. https://t.co/xleq3HHSZt #LetGirlsLearn
7.88124E+17,10/17/16 21:07,"Wildfires in the next few decades could be ""unrecognizable"" to previous generations���because of climate change: https://t.co/vM3xM6mCf3"
7.88089E+17,10/17/16 18:46,Senate leaders are blocking the Supreme Court nomination for their own political gain���don't be silent: https://t.co/OMdTVim0TC #DoYourJob
7.88055E+17,10/17/16 16:32,"RT @WhiteHouse: ""Nobody should be priced out of a higher education."" ���@POTUS on the progress we've made: https://t.co/4YohVv7Qea https://t.��_"
7.8804E+17,10/17/16 15:33,RT @WHLive: Watch as @POTUS speaks on the progress made to ensure every student has the opportunity to realize their potential: https://t.c��_
7.88039E+17,10/17/16 15:30,Senate leaders have recognized Judge Garland's impeccable credentials in the past. He deserves a fair hearing and a��_ https://t.co/w9bPtpSmm7
7.8704E+17,10/14/16 21:17,We need a fully functional Supreme Court. Editorial boards across the country agree: https://t.co/BkLrNaTtzN #DoYourJob
7.8701E+17,10/14/16 19:20,The American Bar Association gave Judge Garland its highest rating. Senate leaders: #DoYourJob and fill the #SCOTUS��_ https://t.co/iTVTqGIUvV
7.86983E+17,10/14/16 17:31,Denying climate change is dangerous. Join @OFA supporters in standing up for bold action now: https://t.co/7MDQGYgX2u #ActOnClimate
7.86964E+17,10/14/16 16:18,Cynics take note: When we #ActOnClimate we build a stronger future. https://t.co/wHHMdo2ro6
7.86681E+17,10/13/16 21:30,"""That�۪s how we will overcome the challenges we face: by unleashing the power of all of us for all of us."" Read more: https://t.co/VxpwLIR4uF"
7.86665E+17,10/13/16 20:29,Check out the most recent editorial boards calling on Senate leaders to vote on Judge Garland: https://t.co/hzuhZYevfo #DoYourJob
7.86635E+17,10/13/16 18:29,Senate leaders have undercut the functionality of the Supreme Court and that's unacceptable. #DoYourJob https://t.co/5HFXhgTMoP
7.86611E+17,10/13/16 16:53,Senate leaders' political games are handicapping the Supreme Court���and judgeships across the country. https://t.co/PhKOBKXLmS #DoYourJob
7.86588E+17,10/13/16 15:24,RT @WIRED: After eight years in office @POTUS remains optimistic about the world's future. His essay as WIRED�۪s guest editor: https://t.co��_
7.86311E+17,10/12/16 21:02,LIVE: President Obama is speaking at a reception celebrating #HispanicHeritageMonth. https://t.co/FK0ytbKw1q
7.86309E+17,10/12/16 20:54,RT @WhiteHouse: In honor of #HispanicHeritageMonth we celebrate the progress that Hispanic Americans have made under @POTUS: https://t.co/��_
7.86291E+17,10/12/16 19:43,Support the bold steps we're taking against climate change. Say you're ready to #ActOnClimate: https://t.co/EtwjaKgYFW
7.86265E+17,10/12/16 17:57,Last week more than 190 countries reached a landmark deal to reduce carbon pollution from aviation. https://t.co/LRYkXVw3rO #ActOnClimate
7.86244E+17,10/12/16 16:35,Let's leave our children and grandchildren a planet that's healthier than the one we have today. #ActOnClimate https://t.co/mP29bpRdU9
7.86226E+17,10/12/16 15:25,Climate change's effects are devastating. Denying the science behind it does nothing to help. https://t.co/Rww40wwgD9 #ActOnClimate
7.85993E+17,10/11/16 23:59,"""On behalf of Michelle and our family G�۪mar Chatimah Tovah."" ���President Obama #YomKippur"
7.85953E+17,10/11/16 21:18,"""LGBT individuals deserve to know their country stands beside them."" ���President Obama #NationalComingOutDay https://t.co/op7nBzbaod"
7.85934E+17,10/11/16 20:02,The Supreme Court must remain above politics. Judge Garland needs a hearing and a vote. #DoYourJob https://t.co/eVSPSIFNpB
7.85913E+17,10/11/16 18:38,Don't stand idly by while Senate leaders continue to block Judge Garland from a fair hearing and vote: https://t.co/TSavHP3mHg #DoYourJob
7.85894E+17,10/11/16 17:26,Judge Garland is just as qualified now as he was in 1997 Senate leaders. It's time to #DoYourJob. https://t.co/j1lEkdMYV6
7.85865E+17,10/11/16 15:31,Dispel misinformation with facts from the @OFA Truth Team. https://t.co/zjexLUJXAC
7.84514E+17,10/7/16 22:03,The uninsured rate is the lowest it's been in decades thanks to #Obamacare. Spread the word.��_ https://t.co/ZkN8HVbn3E
7.84493E+17,10/7/16 20:38,Deadline tonight���help rein in payday lenders that succeed by targeting vulnerable Americans: https://t.co/7OlpH6OFek #StopTheDebtTrap
