id,created_at,text
867427406205915137,2017-05-24 17:09:44,RT @SenBookerOffice: @realDonaldTrump Clearly @realDonaldTrump has not seen the tragic @nytimes photos exposing Duterte's savage war on dru…
867427375738499075,2017-05-24 17:09:37,"RT @SenBookerOffice: Duterte’s government is murdering people in streets w/ no trial. That's what @realDonaldTrump calls a ""great job""? htt…"
867426038594326529,2017-05-24 17:04:18,"RT @SenBookerOffice: President Trump's budget proposal is objectionable in so many ways. 

We must make sure it NEVER gets enacted. https:/…"
867395325719449602,2017-05-24 15:02:15,"RT @SenateDems: What do we think of the #TrumpBudget? We'll tell you, and then we need you to speak up, rise up, and help us fight for thes…"
867394535621578752,2017-05-24 14:59:07,So many folks come to our offices to advocate for important issues. Today doctors are here to advocate against cuts… https://t.co/Ck3QCQci6U
867350287782215681,2017-05-24 12:03:17,"""Justice will not be served until those who are unaffected are as outraged as those who are."" Benjamin Franklin"
867205060207538176,2017-05-24 02:26:12,"Powerful song by David Jassy, inmate at San Quentin, about his experience in the U.S. criminal justice system: https://t.co/SoIQfZeVeS"
867203908925566977,2017-05-24 02:21:38,@ReubenDSilvaNV So grateful. Hope you enjoy.
867202767001145344,2017-05-24 02:17:06,Street Fight is on Netflix https://t.co/vyvbKI2aMB
867202191295119361,2017-05-24 02:14:48,Correct and I respect your restraint. https://t.co/UCZM4sofw7
867146123122757632,2017-05-23 22:32:01,Thanks for watching Street Fight. https://t.co/joCgM9QyCD
867145327207477252,2017-05-23 22:28:51,@joslynft We are full up for this summer but for future opportunities reach out to @ghelmy who helps lead my team.
867145101679767553,2017-05-23 22:27:57,RT @Penn: We can never allow our inability to do everything to undermine our ability to do SOMETHING. @CoryBooker at #PennGrad
867126214909186048,2017-05-23 21:12:54,So sroud to meet with the LINKS. An amazing organization that my mother has been a member of for decades #linksinc… https://t.co/72CEAS5oku
867010250905440256,2017-05-23 13:32:06,"RT @Salon: Mike Flynn lied to the Pentagon about his relationship with Russia, letter from Elijah Cummings alleges https://t.co/8vJcOuWp9v"
