source,id_str,text,created_at,retweet_count,in_reply_to_user_id_str,favorite_count,is_retweet
Twitter for iPhone,8.65E+17,"""President Donald J. Trump Proclaims 5/14/2017 through 5/20/2017 as #PoliceWeek""Proclamation??… https://t.co/EcCsGaizWu",Fri May 19 02:03:58 +0000 2017,12626,,56252,FALSE
Twitter Ads,8.65E+17,A great honor to welcome President Juan Manuel Santos of Colombia to the White House today!????????Joint Press Conf??… https://t.co/uWfiQEdsaY,Thu May 18 22:45:15 +0000 2017,9955,,51832,FALSE
Twitter for iPhone,8.65E+17,With all of the illegal acts that took place in the Clinton campaign &amp; Obama Administration there was never a special counsel appointed!,Thu May 18 14:07:06 +0000 2017,30416,,107419,FALSE
Twitter for iPhone,8.65E+17,This is the single greatest witch hunt of a politician in American history!,Thu May 18 11:52:14 +0000 2017,36855,,123962,FALSE
Twitter for iPhone,8.65E+17,With all of the illegal acts that took place in the Clinton campaign &amp; Obama Administration there was never a special councel appointed!,Thu May 18 11:39:19 +0000 2017,14300,,43793,FALSE
Twitter Ads,8.65E+17,It was my great honor to deliver the #CGACommencement17 at the @USCGAcademy. CONGRATULATIONS to the Class of 2017!… https://t.co/ehQanQXiSy,Wed May 17 20:36:02 +0000 2017,13515,,69170,FALSE
Twitter Ads,8.65E+17,It was a great honor to welcome the President of Turkey Recep Tayyip Erdo?an to the @WhiteHouse today! https://t.co/4BWjOCgnNv,Tue May 16 19:38:42 +0000 2017,19825,,76063,FALSE
Twitter for iPhone,8.65E+17,'U.S. Industrial Production Surged in April' https://t.co/S0Z4SEIRhi,Tue May 16 16:02:17 +0000 2017,12497,,52749,FALSE
Twitter for iPhone,8.64E+17,I have been asking Director Comey &amp; others from the beginning of my administration to find the LEAKERS in the intelligence community.....,Tue May 16 12:10:29 +0000 2017,19229,,80311,FALSE
Twitter for iPhone,8.64E+17,...to terrorism and airline flight safety. Humanitarian reasons plus I want Russia to greatly step up their fight against ISIS &amp; terrorism.,Tue May 16 11:13:00 +0000 2017,18172,,77586,FALSE
Twitter for iPhone,8.64E+17,As President I wanted to share with Russia (at an openly scheduled W.H. meeting) which I have the absolute right to do facts pertaining....,Tue May 16 11:03:36 +0000 2017,19687,,77339,FALSE
Twitter for iPhone,8.64E+17,#PeaceOfficersMemorialDay and#PoliceWeek Proclamation: https://t.co/o4IXVfZuHw https://t.co/UMJ6hklx4a,Tue May 16 01:47:43 +0000 2017,18296,,72628,FALSE
Twitter for iPhone,8.64E+17,Today I delivered remarks at the 36th Annual National Peace Officers' Memorial Service. #NationalPoliceWeekWatch… https://t.co/3EioVDCTqb,Mon May 15 19:54:09 +0000 2017,11318,,55265,FALSE
Twitter for iPhone,8.64E+17,Wishing @FLOTUS Melania and all of the great mothers out there a wonderful day ahead with family and friends! Happy #MothersDay,Sun May 14 15:13:45 +0000 2017,22042,,135792,FALSE
Twitter Ads,8.63E+17,I was thrilled to be back @LibertyU. Congratulations to the Class of 2017! This is your day and you've earned it.… https://t.co/87RYOPwBiY,Sat May 13 18:57:33 +0000 2017,15700,,72433,FALSE
Twitter for iPhone,8.63E+17,Will be interviewed by @JudgeJeanine on @FoxNews at 9:00 P.M. (Saturday night). Enjoy!,Sat May 13 17:54:31 +0000 2017,7673,,46040,FALSE
Twitter for iPhone,8.63E+17,We,Sat May 13 17:31:14 +0000 2017,560,,482,FALSE
Twitter Ads,8.63E+17,#WeeklyAddress??????https://t.co/uT4K4fh88Y https://t.co/1iW7tVVNCH,Sat May 13 00:47:58 +0000 2017,11073,,46646,FALSE
Twitter Ads,8.63E+17,Today I welcomed the Victory Christian Center School. Good luck @ the Team America Rocketry Challenge! #TARC Watch… https://t.co/wFrRsK2wuo,Fri May 12 21:16:56 +0000 2017,10864,,52616,FALSE
Twitter for iPhone,8.63E+17,Today @FLOTUS hosted a Military Mother's Day Event in the East Room of the WH. It was an honor to stop by say hel… https://t.co/wNVB0PYoef,Fri May 12 21:09:32 +0000 2017,11978,,56950,FALSE
Twitter for iPhone,8.63E+17,China just agreed that the U.S. will be allowed to sell beef and other major products into China once again. This is REAL news!,Fri May 12 13:20:04 +0000 2017,31318,,126105,FALSE
Twitter for iPhone,8.63E+17,When James Clapper himself and virtually everyone else with knowledge of the witch hunt says there is no collusion when does it end?,Fri May 12 12:54:54 +0000 2017,18363,,73581,FALSE
Twitter for iPhone,8.63E+17,"James Comey better hope that there are no ""tapes"" of our conversations before he starts leaking to the press!",Fri May 12 12:26:15 +0000 2017,24443,,76220,FALSE
